job,years,education,salary,company,scale,job_url
http://jobs.zhaopin.com/CZ722503390J00029103704.htm,1-3年,不限,5000-8000,广东源溢智能供应链管理有限公司,20-99人,http://jobs.zhaopin.com/CZ722503390J00029103704.htm
http://jobs.zhaopin.com/CZ589056520J00012370205.htm,不限,本科,5000-10000,广州掌安信息技术有限公司,20-99人,http://jobs.zhaopin.com/CZ589056520J00012370205.htm
http://jobs.zhaopin.com/CC394459089J00087540705.htm,3-5年,不限,25000-30000,广东安久科技有限公司,20-99人,http://jobs.zhaopin.com/CC394459089J00087540705.htm
http://jobs.zhaopin.com/CZ673288380J00084483007.htm,1-3年,大专,7000-10000,广州和时通电子科技有限公司,20-99人,http://jobs.zhaopin.com/CZ673288380J00084483007.htm
http://jobs.zhaopin.com/566985081250438.htm,不限,不限,4001-6000,广州艾科网络科技有限公司,100-499人,http://jobs.zhaopin.com/566985081250438.htm
http://jobs.zhaopin.com/600189289250005.htm,1-3年,本科,7000-12000,广州袋鼠科技有限公司,100-499人,http://jobs.zhaopin.com/600189289250005.htm
http://jobs.zhaopin.com/CC525236288J00097504105.htm,1-3年,大专,6001-8000,广州市翰天延泰家居用品有限公司,20-99人,http://jobs.zhaopin.com/CC525236288J00097504105.htm
http://jobs.zhaopin.com/CC290723910J00041335208.htm,无经验,本科,2000-3000,广州诺特软件开发有限公司,100-499人,http://jobs.zhaopin.com/CC290723910J00041335208.htm
http://jobs.zhaopin.com/CC233528627J00093499407.htm,3-5年,本科,7000-12000,广州中道电子科技有限公司,20人以下,http://jobs.zhaopin.com/CC233528627J00093499407.htm
http://jobs.zhaopin.com/120172468251713.htm,1-3年,大专,8000-12000,广州远程教育中心,500-999人,http://jobs.zhaopin.com/120172468251713.htm
http://jobs.zhaopin.com/CZ898287840J00126920201.htm,3-5年,本科,9000-13000,东莞市风铃软件科技有限公司广州分公司,20-99人,http://jobs.zhaopin.com/CZ898287840J00126920201.htm
http://jobs.zhaopin.com/297982280250512.htm,不限,本科,10001-15000,广州惜情服饰有限公司,20人以下,http://jobs.zhaopin.com/297982280250512.htm
